age1A,年龄1A,Integer,9
realname1B,真实姓名1B,String,50
appointmenttime1C,任职时间1C,TimeStamp,6
gender1D,性别1D,Boolean,1
fractionalline1E,身高1E,Double,126
length1F,长度1F,Long,20
studentID1G,学号1G,UUID,32
happybirthday1H,生日1H,Date,7
remarksInformation1I,备注1I,Clob,1024
mepicture1G,图片1G,LocalFile,1024
age2A,年龄2A,Integer,9
realname2B,真实姓名2B,String,50
appointmenttime2C,任职时间2C,TimeStamp,6
gender2D,性别2D,Boolean,1
fractionalline2E,身高2E,Double,126
length2F,长度2F,Long,20
studentID2G,学号2G,UUID,32
happybirthday2H,生日2H,Date,7
remarksInformation2I,备注2I,Clob,1024
mepicture2G,图片2G,LocalFile,1024
age3A,年龄3A,Integer,9
realname3B,真实姓名3B,String,50
appointmenttime3C,任职时间3C,TimeStamp,6
gender3D,性别3D,Boolean,1
fractionalline3E,身高3E,Double,126
length3F,长度3F,Long,20
studentID3G,学号3G,UUID,32
happybirthday3H,生日3H,Date,7
remarksInformation3I,备注3I,Clob,1024
mepicture3G,图片3G,LocalFile,1024
age4A,年龄4A,Integer,9
realname4B,真实姓名4B,String,50
appointmenttime4C,任职时间4C,TimeStamp,6
gender4D,性别4D,Boolean,1
fractionalline4E,身高4E,Double,126
length4F,长度4F,Long,20
studentID4G,学号4G,UUID,32
happybirthday4H,生日4H,Date,7
remarksInformation4I,备注4I,Clob,1024
mepicture4G,图片4G,LocalFile,1024
age5A,年龄5A,Integer,9
realname5B,真实姓名5B,String,50
appointmenttime5C,任职时间5C,TimeStamp,6
gender5D,性别5D,Boolean,1
fractionalline5E,身高5E,Double,126
length5F,长度5F,Long,20
studentID5G,学号5G,UUID,32
happybirthday5H,生日5H,Date,7
remarksInformation5I,备注5I,Clob,1024
mepicture5G,图片5G,LocalFile,1024
age6A,年龄6A,Integer,9
realname6B,真实姓名6B,String,50
appointmenttime6C,任职时间6C,TimeStamp,6
gender6D,性别6D,Boolean,1
fractionalline6E,身高6E,Double,126
length6F,长度6F,Long,20
studentID6G,学号6G,UUID,32
happybirthday6H,生日6H,Date,7
remarksInformation6I,备注6I,Clob,1024
mepicture6G,图片6G,LocalFile,1024
age7A,年龄7A,Integer,9
realname7B,真实姓名7B,String,50
appointmenttime7C,任职时间7C,TimeStamp,6
gender7D,性别7D,Boolean,1
fractionalline7E,身高7E,Double,126
length7F,长度7F,Long,20
studentID7G,学号7G,UUID,32
happybirthday7H,生日7H,Date,7
remarksInformation7I,备注7I,Clob,1024
mepicture7G,图片7G,LocalFile,1024
age8A,年龄8A,Integer,9
realname8B,真实姓名8B,String,50
appointmenttime8C,任职时间8C,TimeStamp,6
gender8D,性别8D,Boolean,1
fractionalline8E,身高8E,Double,126
length8F,长度8F,Long,20
studentID8G,学号8G,UUID,32
happybirthday8H,生日8H,Date,7
remarksInformation8I,备注8I,Clob,1024
mepicture8G,图片8G,LocalFile,1024
age9A,年龄9A,Integer,9
realname9B,真实姓名9B,String,50
appointmenttime9C,任职时间9C,TimeStamp,6
gender9D,性别9D,Boolean,1
fractionalline9E,身高9E,Double,126
length9F,长度9F,Long,20
studentID9G,学号9G,UUID,32
happybirthday9H,生日9H,Date,7
remarksInformation9I,备注9I,Clob,1024
mepicture9G,图片9G,LocalFile,1024
age10A,年龄10A,Integer,9
realname10B,真实姓名10B,String,50
appointmenttime10C,任职时间10C,TimeStamp,6
gender10D,性别10D,Boolean,1
fractionalline10E,身高10E,Double,126
length10F,长度10F,Long,20
studentID10G,学号10G,UUID,32
happybirthday10H,生日10H,Date,7
remarksInformation10I,备注10I,Clob,1024
mepicture10G,图片10G,LocalFile,1024
age11A,年龄11A,Integer,9
realname11B,真实姓名11B,String,50
appointmenttime11C,任职时间11C,TimeStamp,6
gender11D,性别11D,Boolean,1
fractionalline11E,身高11E,Double,126
length11F,长度11F,Long,20
studentID11G,学号11G,UUID,32
happybirthday11H,生日11H,Date,7
remarksInformation11I,备注11I,Clob,1024
mepicture11G,图片11G,LocalFile,1024
age12A,年龄12A,Integer,9
realname12B,真实姓名12B,String,50
appointmenttime12C,任职时间12C,TimeStamp,6
gender12D,性别12D,Boolean,1
fractionalline12E,身高12E,Double,126
length12F,长度12F,Long,20
studentID12G,学号12G,UUID,32
happybirthday12H,生日12H,Date,7
